,"Tekjur alls","Tekjur, meðaltal","Tekjur, miðgildi","Atvinnutekjur","Fjármagnstekjur","Aðrar tekjur","Skattar","Vaxta- og barnabætur","Skattar alls (skattar + vaxta- og barnabætur)","Vaxtagjöld v/íbúðalána","Önnur vaxtagjöld","Ráðstöfunartekjur (Heildartekjur -Skattar alls)","Ráðstöfunartekjur (Heildartekjur -Skattar alls -Vaxtagjöld alls)","Fjöldi í hóp"
"1997",23193,2.6,2.1,17807,2543,2844,5089,-114,4975,626,262,18218,17330,8882
"1998",25122,2.9,2.4,19374,2711,3037,5643,-110,5533,680,282,19589,18627,8661
"1999",28451,3.3,2.7,20898,4284,3269,6359,-113,6245,760,311,22206,21136,8596
"2000",31504,3.6,2.9,22849,5049,3606,7108,-135,6973,912,398,24531,23221,8714
"2001",37633,4.3,3.3,25598,7667,4368,8580,-147,8432,1072,513,29201,27616,8745
"2002",41266,4.5,3.5,28753,7595,4918,9166,-176,8990,1309,556,32277,30412,9078
"2003",49522,5.2,3.8,31983,11503,6036,10739,-177,10563,1501,621,38959,36837,9563
"2004",55300,5.5,4.1,35518,13026,6755,12216,-181,12036,1878,702,43264,40685,9977
"2005",68635,6.4,4.5,41512,19637,7486,13922,-155,13767,2040,909,54868,51919,10666
"2006",85916,7.6,5,48436,28518,8962,16651,-225,16426,2207,1304,69490,65979,11343
"2007",111399,9.2,5.6,55886,44326,11187,19861,-316,19546,2650,1811,91853,87392,12065
"2008",113100,8.8,6.4,63536,34959,14605,22052,-514,21538,3517,2556,91562,85489,12873
"2009",117707,8.8,6.7,65980,26034,25692,26240,-641,25599,4408,6046,92107,81653,13439
"2010",102414,7.3,6.1,70780,12029,19605,25062,-1128,23933,4752,6135,78481,67593,14059
"2011",113440,7.8,6.5,79226,11377,22838,29320,-997,28323,4862,3914,85118,76342,14604
"2012",126775,8.4,6.9,88473,14148,24155,33687,-615,33072,5654,3756,93704,84294,15170
"2013",138371,8.8,7.2,97421,15440,25510,36973,-608,36365,6571,4304,102006,91131,15752
