,"Tekjur alls","Tekjur, meðaltal","Tekjur, miðgildi","Atvinnutekjur","Fjármagnstekjur","Aðrar tekjur","Skattar","Vaxta- og barnabætur","Skattar alls (skattar + vaxta- og barnabætur)","Vaxtagjöld v/íbúðalána","Önnur vaxtagjöld","Ráðstöfunartekjur (Heildartekjur -Skattar alls)","Ráðstöfunartekjur (Heildartekjur -Skattar alls -Vaxtagjöld alls)","Fjöldi í hóp"
"1997",38004,3.1,2.8,33129,2723,2152,8925,-1197,7727,2504,495,30276,27278,12136
"1998",42353,3.5,3.1,36789,3160,2404,9992,-1125,8867,2666,553,33486,30267,12124
"1999",48016,3.9,3.4,40915,4348,2753,11322,-1126,10195,3001,659,37820,34161,12455
"2000",53454,4.2,3.7,45540,4793,3121,12819,-1345,11474,3462,909,41981,37609,12774
"2001",59119,4.6,4,50700,4955,3464,14601,-1440,13161,3834,1046,45958,41078,12830
"2002",63577,4.9,4.2,54476,5116,3985,15455,-1620,13834,4261,1223,49743,44258,12979
"2003",68479,5.2,4.3,57556,6124,4800,16443,-1628,14815,4606,1287,53663,47770,13295
"2004",74404,5.6,4.6,60805,8406,5193,17958,-1566,16392,5438,1428,58012,51146,13273
"2005",89296,6.5,4.9,68171,15880,5245,20227,-1604,18623,5658,1889,70672,63125,13717
"2006",109206,7.4,5,79304,24247,5655,23703,-2104,21599,5628,2920,87607,79059,14825
"2007",121457,8.1,5.4,89571,25744,6142,25877,-2471,23406,6438,3808,98052,87807,14943
"2008",119679,8.1,5.9,93659,18805,7215,26633,-3146,23486,8114,4998,96192,83081,14744
"2009",112378,8,6.2,85628,13611,13139,25752,-3398,22354,9118,7744,90023,73161,14070
"2010",102429,7.5,6.1,84836,5890,11703,25601,-4121,21480,9124,6553,80950,65273,13607
"2011",107916,8,6.4,89427,4912,13577,28334,-3466,24868,7996,3871,83048,71181,13441
"2012",117968,8.5,6.8,98723,7099,12146,31128,-3099,28028,8746,3744,89939,77450,13833
"2013",126445,8.9,7.2,107767,6798,11879,33314,-2926,30388,9981,4106,96057,81969,14155
