,"Tekjur alls","Tekjur, meðaltal","Tekjur, miðgildi","Atvinnutekjur","Fjármagnstekjur","Aðrar tekjur","Skattar","Vaxta- og barnabætur","Skattar alls (skattar + vaxta- og barnabætur)","Vaxtagjöld v/íbúðalána","Önnur vaxtagjöld","Ráðstöfunartekjur (Heildartekjur -Skattar alls)","Ráðstöfunartekjur (Heildartekjur -Skattar alls -Vaxtagjöld alls)","Fjöldi í hóp"
"1997",24518,1.7,1.5,22073,667,1778,4597,-1095,3501,1309,204,21016,19504,14178
"1998",27844,1.9,1.6,25320,720,1805,5470,-1082,4387,1466,255,23457,21736,14665
"1999",31086,2.1,1.8,27925,1111,2051,6264,-1139,5125,1726,379,25961,23857,14951
"2000",35880,2.3,1.9,32184,1352,2344,7510,-1370,6140,2099,576,29741,27065,15543
"2001",39821,2.5,2.1,36268,1200,2352,8717,-1491,7226,2298,731,32595,29566,16086
"2002",39123,2.5,2.1,35612,874,2637,8380,-1606,6773,2453,786,32350,29110,15706
"2003",39616,2.5,2.1,35331,1058,3227,8244,-1588,6655,2587,742,32960,29631,15695
"2004",42598,2.7,2.2,37358,1493,3747,8976,-1640,7336,3095,833,35262,31333,16019
"2005",47749,2.8,2.4,42517,1560,3672,10072,-1762,8310,3510,1025,39439,34904,16890
"2006",55968,3,2.6,49807,2270,3891,11724,-1959,9765,3355,1456,46203,41392,18484
"2007",66943,3.4,2.8,59642,2882,4419,13426,-2254,11171,4131,1878,55772,49762,19970
"2008",74419,3.6,3,65316,3449,5654,15188,-2789,12400,4816,2246,62020,54958,20925
"2009",68108,3.5,3,54265,2321,11522,12743,-2675,10068,4511,3413,58040,50116,19577
"2010",63070,3.3,2.8,51401,1424,10245,11681,-2798,8883,3566,2311,54187,48310,18874
"2011",63203,3.5,2.9,52341,1348,9514,12550,-2156,10394,2630,1483,52809,48697,18082
"2012",65486,3.6,3.1,55014,1432,9040,13059,-2001,11058,2445,1297,54428,50686,17955
"2013",70316,3.7,3.2,59923,1654,8740,14072,-1848,12225,2469,1243,58091,54380,18755
