,"Tekjur alls","Tekjur, meðaltal","Tekjur, miðgildi","Atvinnutekjur","Fjármagnstekjur","Aðrar tekjur","Skattar","Vaxta- og barnabætur","Skattar alls (skattar + vaxta- og barnabætur)","Vaxtagjöld v/íbúðalána","Önnur vaxtagjöld","Ráðstöfunartekjur (Heildartekjur -Skattar alls)","Ráðstöfunartekjur (Heildartekjur -Skattar alls -Vaxtagjöld alls)","Fjöldi í hóp"
"1997",35744,3.3,2.9,31090,2955,1699,8788,-600,8188,1905,480,27556,25172,10710
"1998",39914,3.7,3.2,34825,3300,1789,9759,-608,9151,2092,519,30763,28152,10886
"1999",44849,4.1,3.5,38266,4350,2233,10918,-619,10299,2426,641,34550,31483,11056
"2000",51204,4.5,3.8,42285,6199,2721,12435,-737,11698,2766,887,39506,35854,11460
"2001",57499,4.8,4.1,48271,5946,3282,14364,-827,13537,3241,1080,43962,39641,11903
"2002",64237,5.2,4.3,52819,7811,3607,15492,-992,14500,3732,1241,49738,44765,12236
"2003",67903,5.4,4.5,56803,6776,4324,16633,-958,15675,4057,1242,52228,46929,12648
"2004",76323,5.9,4.7,61352,10054,4917,18488,-927,17561,4844,1424,58762,52494,13035
"2005",91489,6.7,5,70230,16314,4945,20973,-914,20059,5076,1827,71430,64528,13728
"2006",104835,7.2,5.3,79636,19587,5612,23441,-1294,22147,5046,2784,82688,74858,14589
"2007",129539,8.8,5.7,87813,34943,6783,26393,-1598,24795,5766,3748,104744,95230,14674
"2008",124644,8.3,6.2,94868,22201,7576,27306,-2187,25119,7336,4290,99525,87899,14930
"2009",121195,8.4,6.5,88783,18336,14076,27498,-2503,24995,8476,8984,96200,78740,14436
"2010",112132,7.8,6.3,90731,8070,13331,28206,-3327,24880,8810,6978,87253,71465,14290
"2011",121327,8.4,6.7,98719,7447,15160,32243,-2802,29441,8084,4695,91886,79106,14443
"2012",125526,8.7,6.9,104005,7988,13534,33619,-2248,31371,8529,4475,94155,81152,14353
"2013",130180,9.1,7.2,109225,8547,12408,35112,-2042,33070,9475,4464,97110,83171,14268
