"Ar","Eignir alls","Eignir medaltal","Eignir midgildi","Fasteignir","Okutæki","Innlan","Verdbrjef","Adrar eignir","Skuldir alls","Skuldir medaltal","Skuldir midgildi","Ibudarlan","Adrar skuldir","Eigid fje alls (eignir – skuldir)","Eigid fje í fasteign","Eigid fje annad","Fjoldi í hop","Skuldsettir, medaltal skulda","Fjoldi skuldsettra"
"1997",100005,11.3,8.7,61181,7550,7928,15231,8115,16435,1.9,0.6,9103,7331,83570,52078,31492,8882,2.8,5785
"1998",105008,12.1,9.1,62167,8583,8820,18166,7271,18361,2.1,0.8,9743,8618,86647,52425,34222,8661,3.1,5891
"1999",116212,13.5,10.2,70873,8713,11191,18212,7224,19258,2.2,0.9,11161,8096,96955,59712,37243,8596,3.2,6005
"2000",127628,14.6,11.2,80286,9538,13797,17152,6855,23294,2.7,1.2,13594,9700,104334,66692,37642,8714,3.8,6111
"2001",147564,16.9,12.9,93868,9645,16484,19529,8038,27145,3.1,1.4,16139,11006,120419,77729,42690,8745,4.4,6221
"2002",162837,17.9,13.5,103344,10337,20625,21070,7460,30919,3.4,1.7,18646,12273,131918,84698,47220,9078,4.7,6605
"2003",189298,19.8,14.8,121013,11524,23635,25824,7301,36312,3.8,2,22521,13790,152986,98492,54494,9563,5.1,7057
"2004",226545,22.7,16.7,146356,13253,25741,33247,7948,43499,4.4,2.8,26465,17034,183046,119891,63155,9977,5.9,7355
"2005",298803,28,21.1,202394,16639,26518,45001,8252,55084,5.2,2.8,32451,22633,243720,169943,73777,10666,7.2,7684
"2006",358156,31.6,23.4,238427,19288,31747,59568,9124,70400,6.2,3.2,40202,30197,287756,198225,89531,11343,8.6,8150
"2007",446095,37,26.7,289149,22668,41870,81285,11123,91153,7.6,3.9,49963,41190,354942,239186,115756,12065,10.3,8811
"2008",524977,40.8,28.7,314741,25703,112567,61063,10903,120479,9.4,4.4,65300,55179,404498,249441,155057,12873,13.5,8895
"2009",565705,42.1,29.7,343784,26123,108906,75973,10919,157127,11.7,5.7,81248,75879,408578,262536,146041,13439,12.7,12366
"2010",542843,38.6,27.5,333086,26377,93123,78472,11785,178090,12.7,6.4,92010,86080,364753,241075,123678,14059,13.3,13390
"2011",575181,39.4,29.1,378038,27424,80957,76083,12679,177368,12.1,6.7,99828,77540,397812,278210,119602,14604,12.9,13743
"2012",625339,41.2,30.6,426684,28817,78530,77859,13449,190241,12.5,7.1,110734,79507,435098,315950,119148,15170,13.3,14318
"2013",657238,41.7,31.4,460187,30883,77116,74694,14357,198694,12.6,7.3,119518,79177,458544,340670,117874,15752,13.4,14852
