"Ar","Eignir alls","Eignir medaltal","Eignir midgildi","Fasteignir","Okutæki","Innlan","Verdbrjef","Adrar eignir","Skuldir alls","Skuldir medaltal","Skuldir midgildi","Ibudarlan","Adrar skuldir","Eigid fje alls (eignir – skuldir)","Eigid fje í fasteign","Eigid fje annad","Fjoldi í hop","Skuldsettir, medaltal skulda","Fjoldi skuldsettra"
"1997",75295,11.2,8.8,47953,6278,4277,10947,5841,17236,2.6,1.2,9566,7671,58059,38387,19672,6726,3.4,5010
"1998",84166,11.9,9.2,52401,7144,5462,14161,4998,21169,3,1.5,11423,9746,62998,40978,22019,7092,3.9,5427
"1999",99607,13.3,10.4,63441,8396,7126,15045,5599,24435,3.3,2,14256,10179,75171,49185,25986,7464,4.2,5849
"2000",117536,14.7,11.5,76724,9763,9043,15784,6223,29771,3.7,2.4,17276,12495,87765,59448,28317,8014,4.7,6342
"2001",140127,16.4,13.1,94447,10470,10114,18112,6985,37080,4.3,2.8,21880,15200,103047,72567,30480,8551,5.4,6817
"2002",153664,17.1,13.6,104389,10918,12309,20019,6029,41545,4.6,3.2,25826,15719,112119,78563,33556,8962,5.8,7207
"2003",176756,18.8,14.8,120706,11916,15347,22249,6538,47906,5.1,3.7,29935,17971,128850,90771,38079,9414,6.3,7602
"2004",206862,21.1,16.8,145131,13305,16510,25243,6673,58004,5.9,4.6,35157,22847,148858,109973,38885,9816,7.3,7927
"2005",280244,26.9,21.1,200571,16147,19606,36397,7523,74181,7.1,4.6,43291,30890,206063,157280,48782,10410,9,8201
"2006",325161,29.6,23,230924,18316,22348,45663,7911,91950,8.4,5.5,52891,39059,233211,178033,55178,10976,10.8,8520
"2007",396126,35,25.9,269511,21161,27460,69464,8531,113275,10,6.4,62642,50633,282852,206868,75983,11318,12.7,8943
"2008",431989,36.4,27.5,286201,23110,71416,42451,8811,147173,12.4,7.4,81438,65735,284816,204763,80053,11853,16.3,9016
"2009",447895,37.1,27.6,301049,21959,66882,49305,8700,178086,14.8,9.2,97398,80688,269808,203651,66158,12060,16.1,11053
"2010",411050,33.4,24.8,277802,21131,55792,47750,8575,187243,15.2,9.8,104499,82744,223807,173303,50504,12318,15.9,11754
"2011",445277,34.7,26.2,313986,21536,51266,49221,9268,187684,14.6,9.8,111287,76398,257593,202699,54893,12816,15.5,12092
"2012",473027,35.7,27.5,348250,22434,46318,46507,9517,199749,15.1,10.1,121086,78663,273277,227164,46114,13260,15.9,12542
"2013",488386,36,27.9,363101,22970,46162,46153,10000,202008,14.9,10.1,125407,76601,286378,237695,48684,13581,15.8,12745
