,"Eignir alls","Fasteignir","Ökutæki","Innlán","Verðbréf","Aðrar eignir","Skuldir alls","Íbúðalán","Aðrar skuldir","Eigið fé alls (eignir - skuldir)","Eigið fé í fasteign","Eigið fé annað","Atvinnutekjur","Fjármagnstekjur","Aðrar tekjur","Tekjur alls","Skattar","Vaxta- og barnabætur","Skattar alls","Vaxtagjöld v/íbúðalána","Önnur vaxtagjöld","Ráðstöfunartekjur (Tekjur alls -Skattar alls)","Ráðstöfunartekjur (Tekjur alls -Skattar alls - Vaxtagjöld)","Fjöldi í hóp"
"1997",114325,77659,10051,8019,10534,8062,44655,30247,14408,69669,47411,22258,25195,1661,5216,32072,5823,-1531,4292,1832,393,27781,25555,14540
"1998",119052,80796,10975,8518,11420,7343,48029,32948,15082,71023,47849,23174,28130,1825,5569,35524,6739,-1507,5231,1990,417,30293,27887,14668
"1999",132102,92124,12234,10117,10658,6970,54436,37231,17205,77665,54892,22773,31199,2330,6234,39763,7888,-1460,6428,2260,533,33335,30542,14849
"2000",146291,103795,13340,11255,11096,6805,62580,42564,20016,83712,61231,22480,35022,2628,6728,44378,9141,-1661,7480,2635,730,36898,33533,15150
"2001",167550,122947,13024,12793,10715,8070,71571,50176,21395,95978,72771,23207,39168,2830,7733,49731,10910,-1774,9136,3027,877,40595,36690,15410
"2002",179243,133244,12926,14236,11700,7137,77874,54602,23272,101369,78642,22727,41243,2458,8926,52628,11266,-1985,9281,3445,1034,43347,38868,15564
"2003",199612,151053,13463,15355,12407,7334,88775,62340,26435,110838,88713,22124,43873,2705,10236,56815,12301,-1973,10328,3827,1083,46486,41576,15889
"2004",223276,172513,14256,16397,12153,7957,100563,70877,29686,122713,101635,21078,47184,3093,11019,61296,13628,-2028,11600,4573,1240,49696,43884,16095
"2005",285991,226109,16843,19605,14843,8591,120734,83827,36907,165257,142283,22974,52590,3508,12010,68108,14835,-2092,12744,4967,1552,55364,48845,16676
"2006",313979,249595,18002,22258,15639,8483,143763,97871,45892,170216,151724,18492,59857,4568,13122,77547,16790,-2567,14223,4905,2090,63324,56329,17644
"2007",370119,291397,21437,25662,22663,8960,171799,116102,55697,198320,175295,23025,65395,5612,16458,87465,17822,-2903,14919,5703,2746,72546,64096,18227
"2008",404553,303401,23021,55466,13889,8777,218890,145558,73332,185662,157842,27820,71558,9590,19423,100571,20516,-3777,16739,7060,3498,83832,73274,18828
"2009",434410,318655,22207,62500,21805,9242,253391,154743,98648,181019,163913,17106,64385,8481,28497,101364,19692,-3928,15764,7786,6371,85600,71442,18602
"2010",428639,296528,22573,69492,30150,9896,238994,147050,91944,189645,149477,40168,61806,5956,29439,97201,19172,-4578,14594,7241,5598,82607,69768,18669
"2011",452625,323467,22411,66374,29845,10527,225099,145129,79970,227526,178339,49188,65313,5234,32108,102655,21545,-3927,17618,6350,3459,85037,75228,18589
"2012",481562,351723,22975,65890,30087,10888,226371,147925,78446,255191,203798,51393,69587,5470,34062,109119,23231,-3636,19595,6816,3359,89524,79350,18909
"2013",497641,367563,23515,65832,30303,10428,230339,150373,79966,267302,217190,50112,74631,5850,36128,116609,25035,-3510,21526,7642,3570,95084,83871,19323
