,"Eignir alls","Fasteignir","Ökutæki","Innlán","Verðbréf","Aðrar eignir","Skuldir alls","Íbúðalán","Aðrar skuldir","Eigið fé alls (eignir - skuldir)","Eigið fé í fasteign","Eigið fé annað","Atvinnutekjur","Fjármagnstekjur","Aðrar tekjur","Tekjur alls","Skattar","Vaxta- og barnabætur","Skattar alls","Vaxtagjöld v/íbúðalána","Önnur vaxtagjöld","Ráðstöfunartekjur (Tekjur alls -Skattar alls)","Ráðstöfunartekjur (Tekjur alls -Skattar alls - Vaxtagjöld)","Fjöldi í hóp"
"1997",89006,58879,7800,6999,7317,8011,30460,20742,9718,58546,38137,20410,17807,1078,6506,25390,4188,-1033,3155,1194,260,22235,20781,14536
"1998",92972,61672,8310,8249,8302,6439,33077,22615,10461,59895,39057,20838,19354,1213,7176,27743,4697,-1029,3668,1302,293,24075,22480,14668
"1999",104024,71555,9278,9159,8012,6021,39843,27591,12253,64181,43964,20217,21765,1472,7593,30830,5538,-1154,4384,1601,383,26446,24463,14850
"2000",116025,81230,10220,9779,8288,6507,44168,30566,13603,71856,50664,21192,24633,1796,8182,34611,6548,-1285,5263,1845,540,29348,26963,15151
"2001",134862,97305,10111,10742,9036,7668,52298,36578,15721,82564,60727,21836,27867,1952,8881,38700,7865,-1407,6457,2148,657,32243,29437,15410
"2002",143558,105174,10057,12564,9020,6743,56398,40116,16283,87159,65058,22101,28554,1724,10663,40941,8034,-1551,6482,2439,729,34458,31291,15564
"2003",159406,120005,10362,13378,8870,6791,64458,46668,17790,94947,73337,21610,30719,1804,11627,44149,8861,-1613,7247,2749,763,36902,33390,15886
"2004",179430,138438,11064,14398,8822,6708,73814,52896,20918,105616,85542,20074,32895,1992,12954,47841,9975,-1604,8370,3398,876,39470,35196,16094
"2005",223688,177482,12551,15896,10999,6759,87025,60331,26694,136663,117152,19511,37391,2268,13583,53241,10860,-1642,9219,3611,1104,44022,39307,16675
"2006",233542,187434,13745,15329,10181,6853,100142,67525,32617,133400,119908,13491,43703,2740,14596,61039,12580,-1862,10718,3348,1456,50321,45516,17645
"2007",270130,216339,15667,17292,14037,6795,119357,79581,39775,150773,136757,14016,48677,3416,16797,68891,13415,-2098,11317,3902,2062,57574,51610,18227
"2008",291359,222143,16466,37544,9046,6160,159541,103814,55727,131818,118329,13489,55186,6201,17378,78766,15715,-2851,12864,5023,2567,65902,58312,18829
"2009",312346,233128,16110,42254,14366,6488,189666,114775,74891,122680,118354,4327,50462,5531,23612,79604,14949,-3054,11894,5662,4962,67709,57086,18603
"2010",298016,211472,15950,46019,18103,6473,177315,104979,72336,120701,106492,14209,50702,3672,22647,77021,14662,-3467,11194,5201,3869,65827,56757,18668
"2011",325518,234204,16010,47223,19944,8137,168835,105588,63247,156683,128616,28067,53564,3428,24343,81335,16450,-3043,13408,4363,2764,67927,60801,18589
"2012",341802,249029,15854,45038,23866,8015,172620,109663,62957,169182,139366,29816,58458,3627,24458,86544,17839,-2841,14998,4950,2858,71546,63737,18910
"2013",342027,252889,15881,43292,22066,7901,169716,108537,61179,172311,144351,27960,64157,3673,24600,92429,19304,-2818,16487,5490,2823,75943,67630,19323
