,"Eignir alls","Fasteignir","Ökutæki","Innlán","Verðbréf","Aðrar eignir","Skuldir alls","Íbúðalán","Aðrar skuldir","Eigið fé alls (eignir - skuldir)","Eigið fé í fasteign","Eigið fé annað","Atvinnutekjur","Fjármagnstekjur","Aðrar tekjur","Tekjur alls","Skattar","Vaxta- og barnabætur","Skattar alls","Vaxtagjöld v/íbúðalána","Önnur vaxtagjöld","Ráðstöfunartekjur (Tekjur alls -Skattar alls)","Ráðstöfunartekjur (Tekjur alls -Skattar alls - Vaxtagjöld)","Fjöldi í hóp"
"1997",15527,8137,1282,1833,2046,2228,5614,2241,3372,9914,5896,4018,5861,236,1629,7726,113,-121,-8,111,44,7734,7579,14530
"1998",14923,7684,1418,1888,1953,1980,5873,2223,3650,9050,5462,3589,6481,227,1683,8391,135,-121,15,115,59,8376,8202,14668
"1999",17467,9409,1632,1904,2326,2195,6312,2522,3789,11155,6887,4268,7144,273,1883,9300,193,-129,64,139,65,9236,9032,14849
"2000",21214,13133,1898,1990,2215,1978,7213,2972,4241,14001,10162,3839,8042,284,2619,10945,328,-150,178,174,97,10767,10496,15150
"2001",25105,16622,1845,2171,2168,2298,9270,3919,5351,15835,12704,3131,8560,353,2620,11533,410,-159,251,221,131,11282,10930,15410
"2002",23523,14614,1878,2955,2587,1489,10414,4236,6178,13109,10378,2731,8887,347,2686,11920,316,-179,137,253,161,11783,11369,15563
"2003",25121,15697,1887,3241,2708,1589,11785,5185,6601,13336,10512,2824,9224,367,2978,12569,333,-186,147,292,166,12422,11964,15888
"2004",26815,16660,1956,3869,2549,1781,12754,5553,7201,14061,11106,2955,10230,417,2360,13008,472,-181,291,326,165,12717,12226,16094
"2005",29624,19749,2197,3998,2505,1174,15261,7040,8221,14362,12709,1653,11680,500,2411,14592,615,-206,409,397,211,14182,13575,16675
"2006",29500,19175,2192,3780,3314,1040,15709,6791,8918,13790,12383,1407,13879,601,2102,16583,920,-210,710,328,253,15873,15292,17644
"2007",33378,21935,2679,4086,3554,1125,19290,8124,11165,14088,13811,278,15691,723,2294,18708,967,-245,722,395,326,17985,17264,18227
"2008",37953,21747,2562,10943,1936,764,25292,9209,16083,12660,12537,123,16143,1668,2631,20442,965,-283,682,436,653,19760,18671,18828
"2009",49462,26115,2691,13726,5831,1100,33610,12796,20814,15853,13320,2533,13105,1796,4090,18991,421,-303,118,599,985,18873,17289,18602
"2010",53593,26936,2504,16418,6503,1231,40603,12754,27850,12989,14182,-1193,13615,1268,3959,18842,422,-347,76,594,962,18766,17210,18668
"2011",63563,34267,2907,16278,8834,1278,45313,15013,30300,18250,19254,-1004,15404,1401,4412,21217,652,-331,321,557,892,20896,19447,18589
"2012",67433,38006,3019,16608,8303,1498,44002,15998,28004,23431,22008,1423,16794,1547,4727,23068,720,-338,382,666,948,22687,21072,18909
"2013",68998,40595,2970,17265,6668,1500,42812,15055,27758,26186,25540,646,18034,1578,5193,24805,823,-353,469,741,1011,24336,22584,19323
