,"Eignir alls","Fasteignir","Ökutæki","Innlán","Verðbréf","Aðrar eignir","Skuldir alls","Íbúðalán","Aðrar skuldir","Eigið fé alls (eignir - skuldir)","Eigið fé í fasteign","Eigið fé annað","Atvinnutekjur","Fjármagnstekjur","Aðrar tekjur","Tekjur alls","Skattar","Vaxta- og barnabætur","Skattar alls","Vaxtagjöld v/íbúðalána","Önnur vaxtagjöld","Ráðstöfunartekjur (Tekjur alls -Skattar alls)","Ráðstöfunartekjur (Tekjur alls -Skattar alls - Vaxtagjöld)","Fjöldi í hóp"
"1997",147770,110117,14230,6167,12587,4668,68294,48735,19558,79476,61382,18094,49341,2823,2675,54839,13061,-1290,11771,3208,623,43068,39237,14508
"1998",157577,115700,15886,6781,14944,4266,74474,52186,22288,83104,63514,19589,55601,2974,2951,61526,14719,-1143,13576,3489,701,47950,43761,14668
"1999",184155,136360,18266,9567,15340,4622,84904,60013,24891,99251,76347,22904,61280,4134,3521,68934,16580,-1050,15530,3897,877,53404,48630,14849
"2000",208658,156564,19912,11224,15959,4999,97195,67770,29425,111463,88794,22669,67844,4729,4128,76701,18810,-1246,17563,4489,1218,59137,53431,15150
"2001",236606,181291,19561,13979,16230,5546,110988,78875,32114,125618,102416,23202,76795,4613,4789,86196,22060,-1348,20712,5137,1586,65485,58762,15410
"2002",250711,195883,19511,13972,16985,4361,119767,86708,33059,130944,109175,21769,82919,3833,5437,92190,23327,-1566,21760,5829,1710,70430,62891,15564
"2003",280004,220961,20280,16514,17879,4370,133147,96016,37130,146858,124945,21913,87818,4539,6392,98750,24870,-1504,23365,6245,1806,75384,67332,15888
"2004",325233,259764,22219,19239,18855,5155,152552,108203,44350,172681,151562,21119,93672,5842,7207,106722,26996,-1420,25576,7546,2069,81146,71530,16094
"2005",432954,354085,27127,21590,23298,6855,188248,130118,58131,244706,223967,20739,105781,6646,7673,120099,29595,-1398,28197,7943,2603,91902,81355,16676
"2006",502956,410077,31571,26282,27453,7573,234875,159982,74893,268081,250095,17986,122193,9054,8762,140009,33940,-1974,31966,8128,3715,108043,96199,17644
"2007",600529,481292,37163,33755,39517,8803,282731,190921,91810,317798,290371,27427,136550,11343,10629,158522,36575,-2648,33927,9612,4702,124595,110281,18227
"2008",664870,506282,39852,84862,24379,9496,364005,247516,116489,300865,258766,42099,148855,17291,14382,180529,41880,-3637,38243,12186,5922,142286,124178,18828
"2009",684459,512446,37178,90018,35154,9663,402993,265102,137890,281467,247344,34123,142361,13820,25331,181511,42527,-4183,38344,13204,9562,143167,120402,18602
"2010",635414,463280,35969,83562,42760,9843,399347,269923,129424,236067,193357,42710,144002,8790,22028,174820,43152,-5199,37954,13545,7983,136866,115338,18669
"2011",678907,504485,35440,81205,47358,10419,369099,257907,111193,309807,246578,63229,153211,8957,23969,186137,48163,-4052,44111,12088,5658,142026,124280,18589
"2012",702012,545871,35814,69192,40260,10875,387661,271486,116174,314351,274385,39967,165082,8798,23573,197453,51344,-3327,48017,13126,5402,149436,130908,18909
"2013",732401,574319,37216,71078,38470,11319,393915,281474,112441,338486,292844,45642,176941,9406,24507,210854,55014,-2847,52167,14704,5764,158687,138218,19323
