,"Eignir alls","Fasteignir","Ökutæki","Innlán","Verðbréf","Aðrar eignir","Skuldir alls","Íbúðalán","Aðrar skuldir","Eigið fé alls (eignir - skuldir)","Eigið fé í fasteign","Eigið fé annað","Atvinnutekjur","Fjármagnstekjur","Aðrar tekjur","Tekjur alls","Skattar","Vaxta- og barnabætur","Skattar alls","Vaxtagjöld v/íbúðalána","Önnur vaxtagjöld","Ráðstöfunartekjur (Tekjur alls -Skattar alls)","Ráðstöfunartekjur (Tekjur alls -Skattar alls - Vaxtagjöld)","Fjöldi í hóp"
"1997",881904,588351,76958,62410,106346,47839,339001,224331,114670,542903,364020,178883,240587,22696,39285,302568,62429,-7558,54870,14175,3155,247698,230368,145263
"1998",947930,617922,85367,72790,129451,42400,374220,242432,131788,573710,375490,198220,268959,24842,43260,337061,70796,-7259,63537,15333,3505,273524,254686,146682
"1999",1083954,722130,96543,88910,133031,43340,424712,281339,143373,659242,440791,218451,295701,36271,48461,380433,80674,-7285,73389,17512,4369,307044,285162,148493
"2000",1222575,830227,106805,103653,137413,44477,486473,318617,167857,736102,511610,224492,329688,44599,54292,428579,92533,-8497,84036,20306,6075,344543,318162,151505
"2001",1395411,979333,104772,118932,142686,49687,561649,373274,188375,833762,606059,227703,370837,51945,60780,483562,108425,-9196,99229,23270,7600,384333,353462,154100
"2002",1486474,1052343,103998,139289,147612,43233,601638,408997,192641,884836,643346,241490,396258,53187,69292,518738,113750,-10371,103379,26453,8594,415358,380311,155637
"2003",1676563,1194650,108576,160381,167784,45172,678606,460380,218226,997957,734271,263686,418013,70535,78919,567467,123569,-10303,113266,28795,8842,454201,416565,158876
"2004",1924819,1392089,118159,174602,192723,47245,782330,519514,262816,1142488,872575,269914,446997,83613,85817,616427,136264,-10207,126057,34500,10109,490369,445761,160946
"2005",2508965,1861400,142012,195173,260709,49670,948850,612257,336593,1560115,1249144,310971,506694,132773,90749,730217,152612,-10479,142133,36781,13090,588084,538213,166756
"2006",2897590,2098356,160895,229807,353266,55266,1153313,723079,430234,1744277,1375277,368999,583184,176330,99454,858968,175234,-12721,162512,36598,18662,696455,641195,176445
"2007",3471164,2440535,188239,285704,494229,62458,1399810,861993,537818,2071353,1578542,492811,661817,268765,115545,1046127,199039,-15027,184012,42854,24612,862114,794648,182271
"2008",3784972,2508192,199970,685300,324751,66759,1748685,1084103,664582,2036286,1424088,612198,718198,210116,134184,1062499,212780,-19620,193161,53882,31061,869338,784396,188283
"2009",3877349,2585562,190425,668279,367193,65889,1999613,1195410,804204,1877735,1390153,487583,667455,152353,201982,1021791,211775,-21286,190489,59993,54778,831302,716531,186025
"2010",3554087,2349334,182382,582201,373704,66465,1998582,1206629,791953,1555505,1142705,412799,681392,77519,190601,949513,212401,-26277,186123,60259,46011,763390,657120,186686
"2011",3736345,2581048,180842,536935,367933,69587,1886177,1182811,703366,1850169,1398238,451931,730914,72387,210887,1014189,241119,-22035,219085,53849,31376,795104,709879,185890
"2012",3968949,2827560,187909,513733,367085,72662,1921872,1223532,698340,2047077,1604028,443049,789084,80170,214253,1083507,260427,-18843,241584,58005,30221,841923,753698,189095
"2013",4120518,2971153,195527,518276,365783,69779,1926874,1242066,684808,2193644,1729087,464557,851244,93333,221485,1166062,281841,-17513,264327,64670,32102,901734,804962,193231
