,"Eignir alls","Fasteignir","Ökutæki","Innlán","Verðbréf","Aðrar eignir","Skuldir alls","Íbúðalán","Aðrar skuldir","Eigið fé alls (eignir - skuldir)","Eigið fé í fasteign","Eigið fé annað","Atvinnutekjur","Fjármagnstekjur","Aðrar tekjur","Tekjur alls","Skattar","Vaxta- og barnabætur","Skattar alls","Vaxtagjöld v/íbúðalána","Önnur vaxtagjöld","Ráðstöfunartekjur (Tekjur alls -Skattar alls)","Ráðstöfunartekjur (Tekjur alls -Skattar alls - Vaxtagjöld)","Fjöldi í hóp"
"1997",128984,94576,12106,6363,10194,5744,56410,39702,16708,72574,54875,17699,36304,2033,3395,41732,8578,-1647,6930,2526,510,34801,31765,14518
"1998",136948,98499,13421,8014,11897,5117,61096,42653,18444,75852,55846,20005,40280,2366,3896,46541,9808,-1532,8276,2729,579,38265,34958,14668
"1999",155001,114332,15042,9021,11703,4903,70764,50425,20340,84237,63907,20330,44798,2992,4333,52123,11277,-1464,9813,3117,722,42310,38471,14849
"2000",173867,129005,16685,10841,12154,5182,79136,55914,23222,94731,73091,21640,49912,3386,4887,58185,13000,-1584,11416,3581,940,46769,42248,15151
"2001",201829,153109,16596,12974,13010,6140,91170,64311,26859,110659,88798,21860,56146,3419,5825,65390,15394,-1681,13714,4042,1203,51676,46431,15410
"2002",214477,163129,16294,14300,14110,6644,97890,70115,27775,116587,93014,23573,59722,3086,6390,69197,15982,-2019,13963,4574,1381,55234,49279,15563
"2003",239618,185323,16943,15667,14825,6860,108933,78478,30454,130685,106844,23841,63081,3507,7630,74218,17138,-1982,15156,4919,1411,59062,52732,15887
"2004",271567,214813,18153,16955,15003,6643,128093,90341,37752,143474,124473,19002,67646,4200,8532,80378,18936,-1949,16987,6008,1646,63391,55737,16095
"2005",354972,288875,21616,19610,17817,7054,157661,109997,47664,197311,178879,18432,75922,4638,9036,89597,20545,-2153,18392,6563,2093,71205,62549,16675
"2006",406862,330146,24944,23535,19879,8357,193327,132188,61139,213535,197957,15577,85919,6259,10632,102809,23134,-2782,20352,6699,2887,82457,72871,17645
"2007",475424,381444,28554,27429,28440,9557,229037,156072,72965,246387,225372,21015,95635,7823,12458,115916,24703,-3342,21361,7719,3708,94555,83128,18227
"2008",529882,401705,30781,67643,19967,9787,286367,194932,91435,243515,206773,36743,103675,12635,16620,132930,28505,-4336,24169,9506,4653,108761,94602,18828
"2009",555377,411183,29952,76285,28024,9931,323068,209810,113258,232309,201373,30936,96264,10848,26693,133805,28100,-4659,23441,10466,7912,110365,91986,18603
"2010",518373,372212,28454,74786,32715,10206,313242,205886,107356,205130,166326,38805,95871,7234,24946,128052,27830,-5554,22276,10185,6529,105776,89062,18668
"2011",552073,402802,27960,70858,40267,10187,296205,199520,96685,255868,203282,52586,101710,7066,27092,135868,31401,-4571,26830,8989,4416,109039,95634,18589
"2012",586749,435801,28932,68527,42458,11030,300045,204811,95235,286703,230991,55713,108707,7317,28379,144404,33669,-4344,29326,9432,4415,115078,101231,18910
"2013",605646,459608,29840,66360,38445,11393,308420,210477,97943,297226,249130,48095,116661,7804,30129,154594,36273,-4064,32209,10726,4812,122385,106847,19323
