,"Eignir alls","Fasteignir","Ökutæki","Innlán","Verðbréf","Aðrar eignir","Skuldir alls","Íbúðalán","Aðrar skuldir","Eigið fé alls (eignir - skuldir)","Eigið fé í fasteign","Eigið fé annað","Atvinnutekjur","Fjármagnstekjur","Aðrar tekjur","Tekjur alls","Skattar","Vaxta- og barnabætur","Skattar alls","Vaxtagjöld v/íbúðalána","Önnur vaxtagjöld","Ráðstöfunartekjur (Tekjur alls -Skattar alls)","Ráðstöfunartekjur (Tekjur alls -Skattar alls - Vaxtagjöld)","Fjöldi í hóp"
"1997",30408,20299,2313,2735,2629,2432,7374,3632,3742,23034,16667,6367,6485,256,5094,11835,700,-156,544,203,80,11292,11009,14532
"1998",33481,22581,2448,3514,2981,1957,8404,4691,3713,25077,17890,7186,6943,309,5649,12901,920,-180,741,255,83,12160,11822,14668
"1999",39154,27708,2760,3387,3286,2011,10010,5885,4125,29144,21823,7321,7575,370,6249,14194,1257,-207,1050,337,112,13145,12696,14849
"2000",45771,33507,3113,3793,3384,1973,12463,7514,4948,33309,25993,7316,8600,468,7075,16143,1700,-263,1437,439,167,14705,14100,15151
"2001",56367,43605,3132,3817,3570,2243,15101,9217,5884,41266,34388,6878,9000,496,8136,17632,2140,-305,1836,534,206,15796,15056,15410
"2002",60464,46072,3168,5031,3843,2350,16787,10243,6544,43677,35829,7848,9111,473,9085,18669,2141,-314,1827,598,227,16842,16017,15564
"2003",66558,50279,3157,5934,4650,2539,18188,10960,7228,48371,39319,9052,9252,488,10236,19976,2383,-305,2079,658,304,17898,16936,15888
"2004",72549,57277,3444,5646,3408,2774,21009,12705,8304,51540,44572,6968,10591,508,10494,21593,2872,-329,2543,773,270,19050,18008,16095
"2005",84766,69032,4069,5440,3922,2302,25141,15197,9944,59625,53835,5790,12331,574,11007,23912,3046,-355,2691,901,330,21221,19989,16676
"2006",88782,72940,4382,4893,4367,2200,29656,17340,12316,59127,55600,3526,15144,737,11422,27304,3676,-401,3275,867,459,24029,22703,17644
"2007",95312,78308,5187,4885,4829,2104,34821,19611,15211,60491,58697,1794,17908,846,12244,30997,3742,-469,3273,953,576,27725,26196,18227
"2008",86141,63966,5174,12956,2235,1810,43049,23600,19450,43092,40367,2725,21590,1857,11223,34671,4355,-655,3700,1132,750,30971,29090,18828
"2009",88878,62845,4902,14445,4421,2265,54795,25711,29084,34083,37134,-3051,18386,1760,14166,34312,3043,-627,2416,1245,1771,31896,28880,18603
"2010",91647,58178,4762,17711,8244,2751,57841,21167,36675,33806,37012,-3206,18033,1346,14602,33980,2677,-663,2014,1085,1765,31967,29116,18669
"2011",107404,71991,4942,19590,7898,2983,61680,26500,35180,45725,45491,234,19893,1332,15698,36923,3740,-628,3112,878,1494,33811,31438,18589
"2012",122057,85296,5201,20032,9014,2513,63108,27977,35131,58949,57320,1630,21637,1405,16604,39646,4104,-605,3498,1154,1454,36148,33539,18910
"2013",121109,84637,5393,19803,8376,2899,58421,26535,31886,62687,58101,4586,24091,1436,16696,42223,4353,-613,3739,1303,1469,38484,35712,19323
