"Ar","Eignir alls","Eignir medaltal","Eignir midgildi","Fasteignir","Okutæki","Innlan","Verdbrjef","Adrar eignir","Skuldir alls","Skuldir medaltal","Skuldir midgildi","Ibudarlan","Adrar skuldir","Eigid fje alls (eignir – skuldir)","Eigid fje í fasteign","Eigid fje annad","Fjoldi í hop","Skuldsettir, medaltal skulda","Fjoldi skuldsettra"
"1997",104496,9.8,8.3,73770,9838,3505,11805,5579,41753,3.9,3,27179,14574,62743,46591,16152,10710,4.6,9017
"1998",112399,10.3,8.7,77170,10914,4300,14811,5204,47639,4.4,3.5,30072,17567,64759,47098,17662,10886,5.1,9253
"1999",126532,11.4,9.6,89280,12139,5435,14883,4796,54023,4.9,4.1,35697,18326,72509,53583,18926,11056,5.7,9457
"2000",143520,12.5,10.5,102361,13431,6803,15503,5421,63180,5.5,4.6,40757,22423,80340,61604,18736,11460,6.4,9799
"2001",161711,13.6,11.7,119822,13248,7344,15400,5896,75305,6.3,5.4,49196,26109,86405,70626,15779,11903,7.4,10154
"2002",172937,14.1,12.2,129546,13075,9290,15911,5114,80929,6.6,5.8,54824,26105,92007,74722,17285,12236,7.8,10432
"2003",192681,15.2,13.2,146234,13352,10623,17366,5106,90116,7.1,6.3,61240,28877,102565,84994,17571,12648,8.3,10800
"2004",222777,17.1,14.7,171881,14703,11769,19005,5420,104006,8,7.5,69067,34939,118772,102815,15957,13035,9.5,10929
"2005",297413,21.7,18.2,232966,17397,13062,28520,5469,129705,9.4,7.5,82314,47391,167709,150652,17056,13728,11.6,11165
"2006",340663,23.4,19,259786,19319,16494,38525,6539,160899,11,8.1,96466,64433,179764,163321,16444,14589,14.3,11238
"2007",408121,27.8,21.6,299078,22585,23112,55957,7389,191114,13,9.4,112380,78734,217007,186698,30309,14674,16.7,11428
"2008",430877,28.9,22.6,304172,24091,52830,37469,12315,238356,16,11.1,145221,93135,192521,158951,33570,14930,21,11359
"2009",435088,30.1,23.3,309720,22957,50644,39824,11942,281481,19.5,13.8,167616,113865,153607,142104,11503,14436,21.6,13059
"2010",384604,26.9,21.3,276649,21553,43651,35628,7123,284782,19.9,14.5,172958,111824,99822,103691,-3868,14290,21,13558
"2011",404680,28,22.7,306221,21059,37430,32363,7607,280586,19.4,14.6,173367,107220,124093,132854,-8761,14443,20.5,13671
"2012",415042,28.9,23.6,322761,21103,34238,29584,7355,281100,19.6,15,179360,101740,133942,143401,-9459,14353,20.7,13588
"2013",417395,29.3,24.2,325718,20727,33680,29852,7418,271408,19,14.7,178573,92835,145987,147145,-1158,14268,20.3,13395
