"Ar","Eignir alls","Eignir medaltal","Eignir midgildi","Fasteignir","Okutæki","Innlan","Verdbrjef","Adrar eignir","Skuldir alls","Skuldir medaltal","Skuldir midgildi","Ibudarlan","Adrar skuldir","Eigid fje alls (eignir – skuldir)","Eigid fje í fasteign","Eigid fje annad","Fjoldi í hop","Skuldsettir, medaltal skulda","Fjoldi skuldsettra"
"1997",63846,4.8,4.6,49510,6954,1863,3605,1913,55750,4.2,3.9,38716,17034,8096,10795,-2699,13263,5.2,10695
"1998",65748,5.1,4.8,50180,7616,2080,4443,1429,56910,4.4,4,39138,17773,8838,11043,-2204,12983,5.4,10455
"1999",74615,5.9,5.4,57426,8582,2634,4621,1353,62798,4.9,4.5,42823,19975,11817,14603,-2785,12754,6,10388
"2000",82090,6.5,5.8,63717,9164,2843,5021,1345,68470,5.4,4.8,46779,21692,13620,16938,-3318,12712,6.6,10361
"2001",90608,7,6.7,73092,8583,3158,4518,1256,76568,5.9,5.3,53064,23504,14040,20028,-5988,12882,7.4,10405
"2002",97567,7.4,7.2,80183,8376,3870,4030,1108,82353,6.3,5.7,58616,23737,15214,21566,-6352,13165,7.7,10745
"2003",110212,8.1,8,92291,8320,4310,4196,1094,92488,6.8,6.3,66621,25867,17724,25670,-7946,13625,8.3,11092
"2004",126193,9.1,9,107442,8613,4731,4298,1111,108194,7.8,7.4,74898,33297,17999,32544,-14545,13883,9.7,11133
"2005",170163,11.6,10.7,146019,10714,5964,6148,1318,130596,8.9,7.4,90888,39708,39567,55131,-15564,14703,11.4,11439
"2006",189911,11.9,9.8,160186,12339,7335,8421,1629,158976,10,7.3,106707,52270,30934,53480,-22545,15901,13.5,11805
"2007",218981,13.6,10.6,180195,14498,9523,12740,2025,185756,11.5,7.9,124867,60889,33225,55327,-22103,16116,15.7,11825
"2008",217715,13.3,9.5,171954,14559,22937,6445,1820,216431,13.2,7.6,150525,65906,1284,21429,-20144,16337,18.9,11481
"2009",210587,13.1,9.8,165874,13011,22588,7305,1810,236706,14.7,9.5,158148,78559,-26119,7726,-33846,16082,16.9,14033
"2010",181729,11.2,6.9,141994,11839,20298,5922,1676,224055,13.8,8.6,149805,74250,-42326,-7811,-34515,16251,15,14938
"2011",181408,11.2,5.5,145961,11128,18063,4567,1690,204592,12.6,7.7,137198,67394,-23183,8763,-31946,16193,13.8,14837
"2012",187932,11.4,4,153635,11360,17112,4206,1619,202993,12.3,7.2,134953,68040,-15060,18682,-33742,16551,13.3,15224
"2013",192308,11.4,3.2,157322,11813,17419,4219,1535,200016,11.8,6.6,130774,69242,-7708,26548,-34256,16910,13,15338
