"Ar","Eignir alls","Eignir medaltal","Eignir midgildi","Fasteignir","Okutæki","Innlan","Verdbrjef","Adrar eignir","Skuldir alls","Skuldir medaltal","Skuldir midgildi","Ibudarlan","Adrar skuldir","Eigid fje alls (eignir – skuldir)","Eigid fje í fasteign","Eigid fje annad","Fjoldi í hop","Skuldsettir, medaltal skulda","Fjoldi skuldsettra"
"1997",100980,8.3,7.5,74783,9554,2640,9492,4511,55252,4.6,3.9,37827,17425,45727,36955,8772,12136,5.4,10292
"1998",108550,9,7.8,77537,10302,4165,12595,3950,60566,5,4.3,40556,20011,47983,36982,11002,12124,5.9,10286
"1999",123772,9.9,8.9,91280,11963,4935,11528,4065,68956,5.5,5,47367,21589,54816,43913,10903,12455,6.5,10561
"2000",138052,10.8,9.7,103683,13185,5255,11961,3967,78916,6.2,5.5,52799,26117,59136,50884,8252,12774,7.3,10867
"2001",153958,12,10.8,117878,12567,6049,13243,4221,89486,7,6.3,60711,28775,64472,57167,7304,12830,8.2,10910
"2002",160555,12.4,11.1,125182,12256,6760,12709,3648,94700,7.3,6.7,65471,29229,65855,59711,6144,12979,8.6,11040
"2003",180656,13.6,12.2,141491,12852,8794,13478,4040,105459,7.9,7.1,72420,33039,75197,69071,6126,13295,9.3,11359
"2004",203721,15.3,13.6,162145,13385,9680,14383,4128,119882,9,8.7,80329,39553,83838,81815,2023,13273,10.7,11172
"2005",266446,19.4,16.8,212736,15882,12289,21168,4372,142932,10.4,8.7,93426,49506,123514,119310,4204,13717,12.8,11146
"2006",313523,21.1,17.6,241769,18299,14823,33454,5178,176332,11.9,9.5,112454,63878,137191,129315,7877,14825,15.2,11580
"2007",361599,24.2,19.5,271940,20865,18520,44579,5694,209126,14,10.8,129976,79151,152472,141965,10508,14943,18,11632
"2008",375053,25.4,20.5,271668,21484,45702,30410,5790,268785,18.2,12.5,167615,101171,106267,104053,2215,14744,23.8,11274
"2009",365900,26,21,270175,19649,42654,28172,5249,299777,21.3,15.1,184094,115683,66123,86081,-19958,14070,23.6,12690
"2010",321444,23.6,19.1,234783,17898,36168,27583,5011,298384,21.9,15.7,185173,113211,23060,49611,-26551,13607,23.2,12859
"2011",328039,24.4,20.2,249704,16950,30618,26113,4655,264218,19.7,16.2,179597,84621,63822,70106,-6285,13441,20.8,12677
"2012",352904,25.5,21.7,276901,17512,27928,25749,4815,276386,20,16.6,190366,86020,76519,86535,-10016,13833,21.1,13072
"2013",361189,25.5,22.1,291544,18049,27834,19222,4540,285156,20.1,16.6,196112,89043,76034,95432,-19398,14155,21.4,13356
