,"Eignir alls","Fasteignir","Ökutæki","Innlán","Verðbréf","Aðrar eignir","Skuldir alls","Íbúðalán","Aðrar skuldir","Eigið fé alls (eignir - skuldir)","Eigið fé í fasteign","Eigið fé annað","Atvinnutekjur","Fjármagnstekjur","Aðrar tekjur","Tekjur alls","Skattar","Vaxta- og barnabætur","Skattar alls","Vaxtagjöld v/íbúðalána","Önnur vaxtagjöld","Ráðstöfunartekjur (Tekjur alls -Skattar alls)","Ráðstöfunartekjur (Tekjur alls -Skattar alls - Vaxtagjöld)","Fjöldi í hóp"
"1997",46670,31559,3384,4979,4345,2403,14004,9068,4936,32666,22491,10175,9055,509,5924,15488,1954,-386,1569,507,125,13919,13288,14535
"1998",49341,32836,3761,5765,4629,2350,15377,10128,5249,33964,22708,11256,10137,574,6219,16930,2249,-421,1828,564,147,15102,14391,14668
"1999",54919,37234,4295,6080,4761,2549,18417,12108,6310,36502,25127,11375,11527,735,6404,18666,2670,-475,2195,682,192,16471,15597,14849
"2000",59858,41207,4985,6751,4540,2375,20667,13825,6842,39191,27382,11809,13800,911,6439,21151,3244,-568,2677,803,261,18474,17410,15150
"2001",69801,50569,4903,6713,4921,2695,25158,16734,8424,44643,33835,10808,15789,968,6697,23454,3938,-659,3278,938,323,20176,18914,15410
"2002",76034,54739,4777,8686,5247,2585,26643,18082,8561,49391,36657,12734,15440,968,8290,24698,4026,-697,3329,1063,363,21369,19943,15564
"2003",85637,62591,4691,10333,5183,2839,29997,20665,9332,55640,41926,13714,15307,988,9859,26153,4310,-684,3625,1176,361,22528,20991,15887
"2004",91950,69059,5134,10225,5006,2527,34663,23619,11044,57287,45440,11847,16042,1009,11303,28354,4973,-705,4268,1397,409,24086,22280,16094
"2005",116800,91065,6026,11138,5955,2616,39041,25577,13464,77759,65487,12272,17971,1234,12162,31367,5291,-715,4576,1472,504,26791,24815,16675
"2006",124234,98417,6441,10597,5981,2798,44531,28701,15830,79702,69716,9986,21447,1538,13234,36219,6261,-764,5497,1412,676,30722,28634,17645
"2007",140935,112544,7548,11088,6784,2970,52367,33838,18529,88568,78706,9862,24235,1706,15273,41214,6696,-851,5845,1669,822,35369,32878,18226
"2008",145119,109563,7570,21502,4124,2360,65237,40556,24681,79882,69007,10875,27556,3203,16617,47376,7962,-1089,6873,1955,1056,40503,37492,18828
"2009",172390,129306,7322,26059,7048,2655,81859,47317,34542,90531,81989,8542,20667,3089,23514,47271,6868,-1071,5797,2316,2228,41474,36930,18602
"2010",182230,128139,7538,33713,9693,3148,79494,43500,35993,102737,84639,18098,19089,2257,24581,45926,6247,-1142,5104,2142,1825,40822,36854,18668
"2011",204466,145341,7441,36724,11847,3112,76896,43885,33010,127571,101456,26114,20019,1975,27212,49206,7674,-1017,6656,1790,1423,42550,39337,18589
"2012",213937,155157,7814,35640,12217,3110,79892,48331,31561,134046,106826,27220,22504,2166,27762,52431,8186,-981,7205,2128,1419,45226,41679,18909
"2013",218446,158800,8150,35692,12623,3181,77497,45835,31662,140949,112965,27984,25077,2242,28910,56229,8881,-970,7911,2273,1454,48319,44592,19323
