,"Tekjur alls","Tekjur, meðaltal","Tekjur, miðgildi","Atvinnutekjur","Fjármagnstekjur","Aðrar tekjur","Skattar","Vaxta- og barnabætur","Skattar alls (skattar + vaxta- og barnabætur)","Vaxtagjöld v/íbúðalána","Önnur vaxtagjöld","Ráðstöfunartekjur (Heildartekjur -Skattar alls)","Ráðstöfunartekjur (Heildartekjur -Skattar alls -Vaxtagjöld alls)","Fjöldi í hóp"
"1997",36717,2.9,2.5,31960,2184,2573,8211,-1774,6438,2630,413,30280,27237,12878
"1998",40383,3.2,2.8,35354,2289,2740,9146,-1679,7468,2738,434,32916,29743,12777
"1999",44470,3.5,3.1,38284,3155,3031,10118,-1592,8526,3001,544,35944,32399,12718
"2000",49037,3.8,3.3,41999,3722,3317,11287,-1857,9430,3411,780,39607,35416,12900
"2001",55441,4.2,3.6,48332,3598,3511,13358,-2030,11328,3920,982,44113,39210,13266
"2002",57655,4.4,3.7,50257,3496,3903,13726,-2218,11508,4279,1152,46148,40716,13134
"2003",60447,4.6,3.9,52253,3616,4579,14377,-2139,12238,4489,1204,48209,42517,13209
"2004",65370,5,4.1,55328,5342,4700,15784,-2033,13751,5279,1443,51619,44896,13061
"2005",73215,5.6,4.3,61142,7227,4846,17217,-2058,15159,5396,1900,58056,50760,13160
"2006",85565,6.1,4.5,69667,11274,4624,19542,-2433,17109,5250,2612,68456,60594,13949
"2007",105175,7.2,5,81546,17931,5698,22708,-2967,19740,6404,3237,85435,75793,14562
"2008",109372,7.3,5.4,88856,13759,6756,24298,-3928,20371,8535,4106,89001,76359,15028
"2009",102196,7,5.6,80988,7695,13513,23042,-4223,18819,9422,6568,83377,67386,14653
"2010",98903,6.7,5.4,82412,4259,12232,23371,-5088,18283,9723,5677,80621,65221,14817
"2011",104090,7.1,5.7,86663,4075,13352,26024,-4200,21824,8000,3524,82266,70742,14739
"2012",103690,7.2,5.9,87785,3990,11915,25727,-3752,21974,7998,3139,81715,70578,14459
"2013",109606,7.5,6,93304,4464,11838,26946,-3456,23490,8524,3170,86116,74422,14618
