,"Tekjur alls","Tekjur, meðaltal","Tekjur, miðgildi","Atvinnutekjur","Fjármagnstekjur","Aðrar tekjur","Skattar","Vaxta- og barnabætur","Skattar alls (skattar + vaxta- og barnabætur)","Vaxtagjöld v/íbúðalána","Önnur vaxtagjöld","Ráðstöfunartekjur (Heildartekjur -Skattar alls)","Ráðstöfunartekjur (Heildartekjur -Skattar alls -Vaxtagjöld alls)","Fjöldi í hóp"
"1997",31903,2.4,2.1,28348,1281,2274,6810,-1769,5041,2262,308,26862,24292,13263
"1998",34367,2.6,2.4,30666,1413,2288,7476,-1589,5887,2282,346,28480,25852,12983
"1999",37504,2.9,2.6,33048,2021,2435,8251,-1538,6713,2487,466,30792,27838,12754
"2000",40749,3.2,2.8,35926,2259,2564,9229,-1707,7523,2775,655,33227,29797,12712
"2001",44384,3.4,3,40179,1623,2582,10507,-1788,8720,3115,858,35664,31691,12882
"2002",49253,3.7,3.1,44221,1923,3109,11342,-2066,9276,3583,1003,39977,35391,13165
"2003",51442,3.8,3.3,46069,1705,3668,11972,-2124,9847,3928,1040,41594,36626,13625
"2004",55412,4,3.4,48328,2823,4262,12890,-2176,10714,4739,1169,44699,38791,13883
"2005",64793,4.4,3.5,55415,5093,4285,14771,-2339,12432,5306,1628,52362,45427,14703
"2006",76446,4.8,3.8,64414,7560,4472,17057,-2650,14407,5136,2312,62039,54591,15901
"2007",87827,5.4,4,72425,10837,4565,18652,-2942,15710,5873,3059,72117,63185,16116
"2008",89011,5.4,4.4,76712,6510,5789,19545,-3674,15871,7063,3190,73140,62887,16337
"2009",85621,5.3,4.4,68001,5076,12543,18143,-3949,14194,7565,5057,71427,58805,16082
"2010",82818,5.1,4.2,68961,2690,11167,18022,-4474,13548,7104,3829,69270,58337,16251
"2011",87161,5.4,4.4,73062,2439,11659,19856,-3819,16037,5861,2624,71124,62638,16193
"2012",93226,5.6,4.6,79048,2616,11563,21397,-3620,17777,6061,2509,75449,66879,16551
"2013",98324,5.8,4.8,84300,2712,11312,22581,-3331,19250,6408,2581,79074,70085,16910
